avid;avname;avdesc;avcat;
2094;Wer den Pfennig nicht ehrt, ist des Talers nicht wert;Angelt die unten aufgelisteten Kupfermünzen aus dem Springbrunnen von Dalaran.;171;
2095;Silberregen;Angelt die unten aufgelisteten Silbermünzen aus dem Springbrunnen von Dalaran.;171;
2096;Der Münzmeister;Schließt die unten aufgelisteten Münzangel-Erfolge ab.;171;
2097;Auf die Piste!;Erhaltet einen Feuerstuhl oder einen Chopper des Robogenieurs.;92;
2116;Wappenrock der Argentumdämmerung;Einen Wappenrock der Argentumdämmerung durch das Ereignis 'Invasion der Geißel' erhalten.;81;
2136;Ruhm des Helden;Schließt die unten aufgelisteten heroischen Dungeonerfolge ab.;168;
2137;Ruhm des Schlachtzüglers (10 Spieler);Schließt die unten aufgelisteten Erfolge für 10-Spieler-Schlachtzüge ab.;168;
2138;Ruhm des Schlachtzüglers (25 Spieler);Schließt die unten aufgelisteten Erfolge für 25-Spieler-Schlachtzüge ab.;168;
2139;Auf Nummer sicher (25 Spieler);Bezwingt Heigan den Unreinen in Naxxramas im 25-Spieler-Modus, ohne dass jemand aus dem Schlachtzug stirbt.;14922;
2140;Witwenjäger (25 Spieler);Bezwingt die Großwitwe Faerlina in Naxxramas im 25-Spieler-Modus, ohne dabei Raserei zu bannen oder zu verhindern.;14922;
2141;Stallbesitzer;Erhaltet 10 Reittiere.;92;
2142;Die Scheune wird voll;Erhaltet 25 Reittiere.;92;
2143;Vorreiter der Kavallerie;Erhaltet 50 Reittiere.;92;
2144;Was für eine lange, seltsame Reise...;Schließt die unten aufgelisteten Weltereigniserfolge ab.;155;
2146;Der Club der 100 (10 Spieler);Bezwingt Saphiron in Naxxramas im 10-Spieler-Modus, ohne dass jemand aus dem Schlachtzug einen Frostwiderstandswert von über 100 hat.;14922;
2147;Der Club der 100 (25 Spieler);Bezwingt Saphiron in Naxxramas im 25-Spieler-Modus, ohne dass jemand aus dem Schlachtzug einen Frostwiderstandswert von über 100 hat.;14922;
2148;Touché (10 Spieler);Versetzt einem Abkömmling der Ewigkeit im 10-Spieler-Modus den Todesstoß, während Ihr auf einer fliegenden Scheibe reitet.;14922;
2149;Touché (25 Spieler);Versetzt einem Abkömmling der Ewigkeit im 25-Spieler-Modus den Todesstoß, während Ihr auf einer fliegenden Scheibe reitet.;14922;
2150;Gespaltene Persönlichkeit;Bezwingt Großmagistrix Telestra im Nexus auf dem Schwierigkeitsgrad 'Heroisch', nachdem Ihr ihre Abbilder in beiden Spaltungen innerhalb von 5 Sekunden nacheinander getötet habt.;14806;
2151;Verzehren in Ehren;Bezwingt Trollgrind in der Feste Drak'Tharon auf dem Schwierigkeitsgrad 'Heroisch', bevor sich 'Verzehren' 10-mal gestapelt hat.;14806;
2152;Liebe am Spieß;Bezwingt Gal'darah in Gundrak auf dem Schwierigkeitsgrad 'Heroisch', wobei 5 unterschiedliche Gruppenmitglieder während des Kampfes aufgespießt werden müssen.;14806;
2153;Wie auf rohen Eiern;Bezwingt Zuramat den Vernichter in der Violetten Festung auf dem Schwierigkeitsgrad 'Heroisch', ohne dabei eine einzige Leerenwache umzubringen.;14806;
2154;Der ist noch so gut wie Neu;Gewinnt das Gefecht 'Tribunal der Zeitalter' in den Hallen des Steins auf dem Schwierigkeitsgrad 'Heroisch', ohne dass Brann Bronzebart Schaden erleiden darf.;14806;
2155;Mit dem Hammer auf die Schlammer;Bezwingt Sjonnir den Eisenformer in den Hallen des Steins auf dem Schwierigkeitsgrad 'Heroisch' und tötet während des Gefechts 5 Eisenschlick.;14806;
2156;Keinerlei Skrupel gegenüber Skadi;Bezwingt Skadi den Skrupellosen in Turm Utgarde auf dem Schwierigkeitsgrad 'Heroisch', nachdem Ihr Grauf in einer einzigen Phase von 100% auf Tod gebracht habt.;14806;
2157;Bann des Königs;Bezwingt König Ymiron in Turm Utgarde auf dem Schwierigkeitsgrad 'Heroisch', ohne dass jemand aus der Gruppe 'Bann' auslöst.;14806;
2176;Zusammen bis in den Tod (10 Spieler);Bezwingt die Vier Reiter in Naxxramas im 10-Spieler-Modus, wobei alle vier innerhalb von 15 Sekunden sterben müssen.;14922;
2177;Zusammen bis in den Tod (25 Spieler);Bezwingt die Vier Reiter in Naxxramas im 25-Spieler-Modus, wobei alle vier innerhalb von 15 Sekunden sterben müssen.;14922;
2178;Schockierend! (10 Spieler);Bezwingt Thaddius in Naxxramas im 10-Spieler-Modus, ohne dass ein Spieler im Schlachtzug Schaden durch eine seiner Ladung entgegengesetzte Ladung erhält.;14922;
2179;Schockierend! (25 Spieler);Bezwingt Thaddius in Naxxramas im 25-Spieler-Modus, ohne dass ein Spieler im Schlachtzug Schaden durch eine seiner Ladung entgegengesetzte Ladung erhält.;14922;
2180;Subtraktion (10 Spieler);Bezwingt Thaddius in Naxxramas im 10-Spieler-Modus mit weniger als 9 Leuten.;14922;
2181;Subtraktion (25 Spieler);Bezwingt Thaddius in Naxxramas im 25-Spieler-Modus mit weniger als 21 Leuten.;14922;
2182;Sporenschoner (10 Spieler);Bezwingt Loatheb in Naxxramas im 10-Spieler-Modus, ohne dabei Sporen zu vernichten.;14922;
2183;Sporenschoner (25 Spieler);Bezwingt Loatheb in Naxxramas im 25-Spieler-Modus, ohne dabei Sporen zu vernichten.;14922;
2184;Ich krieg' einfach nicht genug (10 Spieler);Bezwingt Kel'Thuzad in Naxxramas im 10-Spieler-Modus, nachdem Ihr mindestens 18 Monstrositäten in seiner Kammer besiegt habt.;14922;
2185;Ich krieg' einfach nicht genug (25 Spieler);Bezwingt Kel'Thuzad in Naxxramas im 25-Spieler-Modus, nachdem Ihr mindestens 18 Monstrositäten in seiner Kammer besiegt habt.;14922;
2186;Der Unsterbliche;Bezwingt jeden Boss in Naxxramas im 25-Spieler-Modus innerhalb eines einzigen Schlachtzugzyklus, ohne dass ein Gruppenmitglied während der Bosskämpfe stirbt.;81;
2187;Der Unverwüstliche;Bezwingt jeden Boss in Naxxramas im 10-Spieler-Modus innerhalb eines einzigen Schlachtzugzyklus, ohne dass ein Gruppenmitglied während der Bosskämpfe stirbt.;81;
2188;Leeeeeeeeeeeeeeeroy!;Tötet 50 Krähenhorstwelpen innerhalb von 15 Sekunden.;14808;
2189;Artillerieexperte;Zerstört in einer einzigen Schlacht 5 Fahrzeuge mittels eines Geschützes.;14881;
2190;Sofort fallenlassen!;Tötet in einer einzigen Schlacht 5 Spieler, die Zephyrium tragen.;14881;
2191;Uralter Hofbeschützer;Tötet 100 Spieler im Hof der Uralten.;14881;
2192;Ohne einen Kratzer;Gewinnt eine Schlacht am Strand der Uralten, ohne dabei Belagerungsmaschinen zu verlieren.;14881;
2193;Sprengstoffexperte;Platziert 5 Zephyriumladungen in einer einzigen Schlacht und beschädigt damit eine Mauer.;14881;
2194;Meister des Strands der Uralten;Schließt die unten aufgelisteten Erfolge am Strand der Uralten ab.;14881;
2199;Waldläufer von Tausendwinter;Tötet in jedem der unten aufgelisteten Tausendwinter-Gebiete 10 Spieler.;14901;
2200;Verteidigung der Uralten;Verteidigt den Strand, ohne dabei Mauern aufzugeben.;14881;
2219;Tode in heroischen 5-Spieler-Dungeons insgesamt;Tode in heroischen 5-Spieler-Dungeons insgesamt;125;
2256;Enttarnung im Norden;Tötet eine der unten aufgelisteten, extrem seltenen und schwer zu findenden Kreaturen von Nordend.;14780;
2257;Gnadenloser Spürhund;Tötet jede der unten aufgelisteten, extrem seltenen und schwer zu findenden Kreaturen von Nordend.;14780;
2277;Beschwörungen angenommen;Beschwörungen angenommen;134;
2316;Brutaler Netherdrache;Erhaltet den brutalen Netherdrachen aus der Arenasaison 4 von The Burning Crusade.;81;
2336;Am Rande des Wahnsinns;Erhöht Euren Ruf in den im Folgenden aufgeführten Gegenden.;81;
2357;Schreckensross von Xoroth;Die Hexenmeisterquest zur Beschwörung eines Schreckensrosses von Xoroth abgeschlossen.;81;
2358;Streitross;Die Paladinquest zur Erlangung eines Streitrosses abgeschlossen.;81;
2359;Schnelle Fluggestalt;Die Druidenquest zum Erlernen einer schnellen Fluggestalt abgeschlossen.;81;
2396;Am häufigsten betretenes Schlachtfeld;Am häufigsten betretenes Schlachtfeld;153;
2397;Am häufigsten gewonnenes Schlachtfeld;Am häufigsten gewonnenes Schlachtfeld;153;
2398;Der 4. Geburtstag von WoW;Während des 4. Geburtstages von WoW eingeloggt.;81;
2416;Hartgekocht;Legt während des Nobelgartenfests in Hasengestalt ein Ei in die Heißen Quellen von Golakka im Krater von Un'Goro.;159;
2417;Schokoladenliebhaber;Esst 25 Stück Nobelgartenschokolade während des Nobelgartenfests.;159;
2418;Schokoholiker;Esst 100 Stück Nobelgartenschokolade während des Nobelgartenfests.;159;
2419;Frühlingsgefühle;Findet für Euren Frühlingshasen einen Artgenossen zum Kuscheln in jeder der folgenden Ortschaften.;159;
2420;Nobelgarten;Versteckt ein bunt gefärbtes Ei in Silbermond.;159;
2421;Nobelgarten;Versteckt ein bunt gefärbtes Ei in Sturmwind.;159;
2422;Von Hasen und Häschen;Benutzt Frühlingsblumen, um weiblichen Charakteren auf Stufe 18 oder höher Hasenohren aufzusetzen.;159;
2436;Wüstenblume;Benutzt Frühlingsroben, um in jeder der folgenden Wüsten eine Blume zu pflanzen.;159;
2456;Vampirjäger;Hat Prinz Tenris Mirkblut getötet und sein Vampirfledermäuschen erhalten.;81;
2476;Destruction Derby;Zerstört jedes der unten aufgelisteten Fahrzeuge.;14901;
2496;Das Fünfte Element;Erhaltet eine wässrige Quintessenz.;81;
2497;Frühlingsgefühle;Findet für Euren Frühlingshasen einen Artgenossen zum Kuscheln in jeder der folgenden Ortschaften.;159;
2516;Kleinwildjäger;Sammelt 75 einzigartige Haustiere.;15118;
2536;Tierisch viele Reittiere;Erhaltet 100 Reittiere.;92;
2537;Tierisch viele Reittiere;Erhaltet 100 Reittiere.;92;
2556;Kammerjägerei;Tilgt das folgende Ungeziefer.;92;
2557;Ob groß, ob klein, Tiere sollen meine Freunde sein;Zeigt mehr Tieren in Azeroth, wie sehr Ihr sie liebt (/liebe).;92;
2576;Errötende Braut;Küsst jemanden in einem eleganten Kleid, während Ihr ein weißes Smokinghemd und eine schwarze Smokinghose tragt.;159;
2596;Siege über Mr. Bigglesworth;Siege über Mr. Bigglesworth;14823;
2676;Ich hab eins gefunden!;Findet ein bunt gefärbtes Ei.;159;
2716;Duale Talentspezialisierung;Besucht ab Stufe 30 den Lehrer für Eure Klasse und aktiviert Eure duale Talentspezialisierung.;92;
2756;Ehrgeiz beim Argentumturnier;Trainiert, um am Argentumturnier als Streiter der Fraktion Eures Volkes teilzunehmen.;14941;
2758;Heldenmut beim Argentumturnier;Trainiert, um am Argentumturnier als Recke der Fraktion Eures Volkes teilzunehmen.;14941;
2760;Ehrfurchtgebietender Champion von Darnassus;Erreicht in Darnassus den Status ehrfürchtig und das Recht, Darnassus beim Argentumturnier zu vertreten.;14941;
2761;Ehrfurchtgebietender Champion der Exodar;Erreicht in der Exodar den Status ehrfürchtig und das Recht, die Exodar beim Argentumturnier zu vertreten.;14941;
2762;Ehrfurchtgebietender Champion von Gnomeregan;Erreicht in Gnomeregan den Status ehrfürchtig und das Recht, die Gnomeregangnome beim Argentumturnier zu vertreten.;14941;
2763;Ehrfurchtgebietender Champion von Eisenschmiede;Erreicht in Eisenschmiede den Status ehrfürchtig und das Recht, Eisenschmiede beim Argentumturnier zu vertreten.;14941;
2764;Ehrfurchtgebietender Champion von Sturmwind;Erreicht in Sturmwind den Status ehrfürchtig und das Recht, Sturmwind beim Argentumturnier zu vertreten.;14941;
2765;Ehrfurchtgebietender Champion von Orgrimmar;Erreicht in Orgrimmar den Status ehrfürchtig und das Recht, Orgrimmar beim Argentumturnier zu vertreten.;14941;
2766;Ehrfurchtgebietender Champion von Sen'jin;Erreicht in Sen'jin den Status ehrfürchtig und das Recht, Sen'jin beim Argentumturnier zu vertreten.;14941;
2767;Ehrfurchtgebietender Champion von Silbermond;Erreicht in Silbermond den Status ehrfürchtig und das Recht, Silbermond beim Argentumturnier zu vertreten.;14941;
2768;Ehrfurchtgebietender Champion von Donnerfels;Erreicht in Donnerfels den Status ehrfürchtig und das Recht, Donnerfels beim Argentumturnier zu vertreten.;14941;
2769;Ehrfurchtgebietender Champion von Unterstadt;Erreicht in Unterstadt den Status ehrfürchtig und das Recht, Unterstadt beim Argentumturnier zu vertreten.;14941;
2770;Ehrfurchtgebietender Champion der Allianz;Erreicht den Status ehrfürchtig bei den Fraktionen aller Völker der Allianz und das Recht, sie beim Argentumturnier zu vertreten.;14941;
2771;Ehrfurchtgebietender Champion der Horde;Erreicht den Status ehrfürchtig bei den Fraktionen aller Völker der Horde und das Recht, sie beim Argentumturnier zu vertreten.;14941;
2772;Gekippt!;Bezwingt einen anderen Spieler in einem berittenen Duell beim Argentumturnier.;14941;
2773;Ist nur 'ne Fleischwunde!;Demaskiert und bezwingt den Schwarzen Ritter beim Argentumturnier.;14941;
2777;Champion von Darnassus;Erhaltet das Recht, Darnassus beim Argentumturnier zu vertreten.;14941;
2778;Champion der Exodar;Erhaltet das Recht, die Exodar beim Argentumturnier zu vertreten.;14941;
2779;Champion von Gnomeregan;Erhaltet das Recht, die Gnomeregangnome beim Argentumturnier zu vertreten.;14941;
2780;Champion von Eisenschmiede;Erhaltet das Recht, Eisenschmiede beim Argentumturnier zu vertreten.;14941;
2781;Champion von Sturmwind;Erhaltet das Recht, Sturmwind beim Argentumturnier zu vertreten.;14941;
2782;Champion der Allianz;Erhaltet das Recht, alle Fraktionen der Völker der Allianz beim Argentumturnier zu vertreten.;14941;
2783;Champion von Orgrimmar;Erhaltet das Recht, Orgrimmar beim Argentumturnier zu vertreten.;14941;
2784;Champion von Sen'jin;Erhaltet das Recht, Sen'jin beim Argentumturnier zu vertreten.;14941;
2785;Champion von Silbermond;Erhaltet das Recht, Silbermond beim Argentumturnier zu vertreten.;14941;
2786;Champion von Donnerfels;Erhaltet das Recht, Donnerfels beim Argentumturnier zu vertreten.;14941;
2787;Champion von Unterstadt;Erhaltet das Recht, Unterstadt beim Argentumturnier zu vertreten.;14941;
2788;Champion der Horde;Erhaltet das Recht, alle Fraktionen der Völker der Horde beim Argentumturnier zu vertreten.;14941;
2796;Bier des Monats;Tretet dem 'Bier des Monats e.V.' bei.;162;
2798;Nobelgärtner;Schließt die unten aufgelisteten Nobelgarten-Erfolge ab.;155;
2816;Ehrfurchtgebietender Argentumchampion der Horde;Erreicht bei allen Hordenfraktionen einen ehrfürchtigen Ruf und erlangt das Recht, jede von ihnen beim Argentumturnier zu repräsentieren.;14941;
2817;Ehrfurchtgebietender Argentumchampion der Allianz;Erreicht bei allen Allianzfraktionen einen ehrfürchtigen Ruf und erlangt das Recht, jede von ihnen beim Argentumturnier zu repräsentieren.;14941;
2836;Ritter Sport;Übertrefft beim Argentumturnier einen Vertreter jeder Fraktion.;14941;
2856;Siege über den Flammenleviathan (Ulduar, 10 Spieler);Siege über den Flammenleviathan (Ulduar, 10 Spieler);14823;
2857;Siege über Klingenschuppe (Ulduar, 10 Spieler);Siege über Klingenschuppe (Ulduar, 10 Spieler);14823;
2858;Siege über Ignis, Meister des Eisenwerks (Ulduar, 10 Spieler);Siege über Ignis, Meister des Eisenwerks (Ulduar, 10 Spieler);14823;
2859;Siege über XT-002 Dekonstruktor (Ulduar, 10 Spieler);Siege über XT-002 Dekonstruktor (Ulduar, 10 Spieler);14823;
2860;Siege über die Versammlung des Eisens (Ulduar, 10 Spieler);Siege über die Versammlung des Eisens (Ulduar, 10 Spieler);14823;
2861;Siege über Kologarn (Ulduar, 10 Spieler);Siege über Kologarn (Ulduar, 10 Spieler);14823;
2862;Siege über Hodir (Ulduar, 10 Spieler);Siege über Hodir (Ulduar, 10 Spieler);14823;
2863;Siege über Thorim (Ulduar, 10 Spieler);Siege über Thorim (Ulduar, 10 Spieler);14823;
2864;Siege über Freya (Ulduar, 10 Spieler);Siege über Freya (Ulduar, 10 Spieler);14823;
2865;Siege über Mimiron (Ulduar, 10 Spieler);Siege über Mimiron (Ulduar, 10 Spieler);14823;
2866;Siege über General Vezax (Ulduar, 10 Spieler);Siege über General Vezax (Ulduar, 10 Spieler);14823;
2867;Siege über Algalon den Beobachter (Ulduar, 10 Spieler);Siege über Algalon den Beobachter (Ulduar, 10 Spieler);14823;
2868;Siege über Auriaya (Ulduar, 10 Spieler);Siege über Auriaya (Ulduar, 10 Spieler);14823;
2869;Siege über Yogg-Saron (Ulduar, 10 Spieler);Siege über Yogg-Saron (Ulduar, 10 Spieler);14823;
2870;Siege über Emalon den Sturmwächter (Tausendwinter, 10 Spieler);Siege über Emalon den Sturmwächter (Tausendwinter, 10 Spieler);14823;
2872;Siege über den Flammenleviathan (Ulduar, 25 Spieler);Siege über den Flammenleviathan (Ulduar, 25 Spieler);14823;
2873;Siege über Klingenschuppe (Ulduar, 25 Spieler);Siege über Klingenschuppe (Ulduar, 25 Spieler);14823;
2874;Siege über Ignis, Meister des Eisenwerks (Ulduar, 25 Spieler);Siege über Ignis, Meister des Eisenwerks (Ulduar, 25 Spieler);14823;
2875;Siege über Kologarn (Ulduar, 25 Spieler);Siege über Kologarn (Ulduar, 25 Spieler);14823;
2879;Siege über Mimiron (Ulduar, 25 Spieler);Siege über Mimiron (Ulduar, 25 Spieler);14823;
2880;Siege über General Vezax (Ulduar, 25 Spieler);Siege über General Vezax (Ulduar, 25 Spieler);14823;
2881;Siege über Algalon den Beobachter (Ulduar, 25 Spieler);Siege über Algalon den Beobachter (Ulduar, 25 Spieler);14823;
2882;Siege über Auriaya (Ulduar, 25 Spieler);Siege über Auriaya (Ulduar, 25 Spieler);14823;
2883;Siege über Yogg-Saron (Ulduar, 25 Spieler);Siege über Yogg-Saron (Ulduar, 25 Spieler);14823;
2884;Siege über XT-002 Dekonstruktor (Ulduar, 25 Spieler);Siege über XT-002 Dekonstruktor (Ulduar, 25 Spieler);14823;
2885;Siege über die Versammlung des Eisens (Ulduar, 25 Spieler);Siege über die Versammlung des Eisens (Ulduar, 25 Spieler);14823;
2886;Die Belagerung von Ulduar (10 Spieler);Bezwingt die Bosse im Bereich der Belagerung von Ulduar im 10-Spieler-Modus.;14922;
2887;Die Belagerung von Ulduar (25 Spieler);Bezwingt die Bosse im Bereich der Belagerung von Ulduar im 25-Spieler-Modus.;14922;
2888;Die Vorkammer von Ulduar (10 Spieler);Bezwingt die Bosse im Bereich der Vorkammer von Ulduar im 10-Spieler-Modus.;14922;
2889;Die Vorkammer von Ulduar (25 Spieler);Bezwingt die Bosse im Bereich der Vorkammer von Ulduar im 25-Spieler-Modus.;14922;
2890;Die Hüter von Ulduar (10 Spieler);Bezwingt die Hüter-Bosse von Ulduar im 10-Spieler-Modus.;14922;
2891;Die Hüter von Ulduar (25 Spieler);Bezwingt die Hüter-Bosse von Ulduar im 25-Spieler-Modus.;14922;
2892;Der Abstieg in den Wahnsinn (10 Spieler);Bezwingt die Bosse im Bereich des Abstiegs in den Wahnsinn im 10-Spieler-Modus.;14922;
2893;Der Abstieg in den Wahnsinn (25 Spieler);Bezwingt die Bosse im Bereich des Abstiegs in den Wahnsinn im 25-Spieler-Modus.;14922;
2894;Die Geheimnisse von Ulduar (10 Spieler);Bezwingt jeden Boss von Ulduar im 10-Spieler-Modus.;14922;
2895;Die Geheimnisse von Ulduar (25 Spieler);Bezwingt jeden Boss von Ulduar im 25-Spieler-Modus.;14922;
2903;Champion von Ulduar;Bezwingt jeden Boss in Ulduar im 10-Spieler-Modus, ohne dass ein Schlachtzugsmitglied innerhalb dieses Schlachtzugszyklus während des jeweiligen Bosskampfes stirbt.;81;
2904;Eroberer von Ulduar;Bezwingt jeden Boss in Ulduar im 25-Spieler-Modus, ohne dass ein Schlachtzugsmitglied innerhalb dieses Schlachtzugszyklus während des jeweiligen Bosskampfes stirbt.;81;
2905;Ohne Boxenstopp (10 Spieler);Bezwingt den Flammenleviathan im ersten Versuch im 10-Spieler-Modus, ohne dass jemand sein Fahrzeug repariert.;14922;
2906;Ohne Boxenstopp (25 Spieler);Bezwingt den Flammenleviathan im ersten Versuch im 25-Spieler-Modus, ohne dass jemand sein Fahrzeug repariert.;14922;
2907;Aller guten Dinge sind drei (10 Spieler);Bezwingt den Flammenleviathan je einmal in jedem der folgenden Fahrzeuge im 10-Spieler-Modus.;14922;
2908;Aller guten Dinge sind drei (25 Spieler);Bezwingt den Flammenleviathan je einmal in jedem der folgenden Fahrzeuge im 25-Spieler-Modus.;14922;
2909;Schaltet diese Geschütze aus (10 Spieler);Zerstört ein Verteidigungsgeschütz des Flammenleviathans im 10-Spieler-Modus.;14922;
2910;Schaltet diese Geschütze aus (25 Spieler);Zerstört ein Verteidigungsgeschütz des Flammenleviathans im 25-Spieler-Modus.;14922;
2911;Mit weißer Weste (10 Spieler);Bezwingt den Flammenleviathan im 10-Spieler-Modus, ohne eine Systemüberlastung zu verursachen.;14922;
2912;Mit weißer Weste (25 Spieler);Bezwingt den Flammenleviathan im 25-Spieler-Modus, ohne eine Systemüberlastung zu verursachen.;14922;
2913;Orbitale Überwachung (10 Spieler);Bezwingt den Flammenleviathan mit mindestens 1 aktiven orbitalen Verteidigungssystem im 10-Spieler-Modus.;14922;
2914;Orbitales Bombardement (10 Spieler);Bezwingt den Flammenleviathan mit mindestens 2 aktiven orbitalen Verteidigungssystemen im 10-Spieler-Modus.;14922;
2915;Orbitale Verwüstung (10 Spieler);Bezwingt den Flammenleviathan mit mindestens 3 aktiven orbitalen Verteidigungssystemen im 10-Spieler-Modus.;14922;
2916;Orbitales Bombardement (25 Spieler);Bezwingt den Flammenleviathan mit 2 aktiven orbitalen Verteidigungssystemen im 25-Spieler-Modus.;14922;
2917;Orbitale Verwüstung (25 Spieler);Bezwingt den Flammenleviathan mit 3 aktiven orbitalen Verteidigungssystemen im 25-Spieler-Modus.;14922;
2918;Orbitale Überwachung (25 Spieler);Bezwingt den Flammenleviathan mit 1 aktiven orbitalen Verteidigungssystem im 25-Spieler-Modus.;14922;
2919;Wie Schuppen von den Augen ... (10 Spieler);Bezwingt Klingenschuppe im 10-Spieler-Modus, ohne dass sie mehr als einmal in die Luft abhebt.;14922;
2921;Wie Schuppen von den Augen ... (25 Spieler);Bezwingt Klingenschuppe im 25-Spieler-Modus, ohne dass sie mehr als einmal in die Luft abhebt.;14922;
2923;Eisenzwerg, gut durch, bitte (10 Spieler);Bezwingt im 10-Spieler-Modus 25 Dunkle Runenwächter mit Klingenschuppes 'Flammenatem'.;14922;
2924;Eisenzwerg, gut durch, bitte (25 Spieler);Bezwingt im 25-Spieler-Modus 25 Dunkle Runenwächter mit Klingenschuppes 'Flammenatem'.;14922;
2925;Alteisenproduktion (10 Spieler);Bezwingt Ignis, Meister des Eisenwerks, im 10-Spieler-Modus, nachdem Ihr innerhalb von 5 Sekunden 2 eiserne Konstrukte zertrümmert habt.;14922;
2926;Alteisenproduktion (25 Spieler);Bezwingt Ignis, Meister des Eisenwerks, im 25-Spieler-Modus, nachdem Ihr innerhalb von 5 Sekunden 2 eiserne Konstrukte zertrümmert habt.;14922;
2927;Heiße Angelegenheit (10 Spieler);Überlebt es, im 10-Spieler-Modus in den Schlackentopf von Ignis, Meister des Eisenwerks, geworfen zu werden.;14922;
2928;Heiße Angelegenheit (25 Spieler);Überlebt es, im 25-Spieler-Modus in den Schlackentopf von Ignis, Meister des Eisenwerks, geworfen zu werden.;14922;
2929;Ordentlich einheizen (25 Spieler);Bezwingt Ignis, Meister des Eisenwerks, innerhalb von 4 Min. im 25-Spieler-Modus.;14922;
2930;Ordentlich einheizen (10 Spieler);Bezwingt Ignis, Meister des Eisenwerks, innerhalb von 4 Min. im 10-Spieler-Modus.;14922;
2931;Schwächt die Schrottboter endlich ab! (10 Spieler);Bezwingt den XT-002 Dekonstruktor im 10-Spieler-Modus, ohne dass er seine Gesundheit durch XS-013 Schrottboter auffrischt.;14922;
2932;Schwächt die Schrottboter endlich ab! (25 Spieler);Bezwingt den XT-002 Dekonstruktor im 25-Spieler-Modus, ohne dass er seine Gesundheit durch XS-013 Schrottboter auffrischt.;14922;
2933;Schwächt die Bummboter endlich ab! (10 Spieler);Bezwingt 20 XS-013 Schrottboter innerhalb von 12 Sekunden bei Verwendung von XE-321 Bummbotern im 10-Spieler-Modus.;14922;
2934;Schwächt die Gravitationsbomben endlich ab! (10 Spieler);Bezwingt den XT-002 Dekonstruktor im 10-Spieler-Modus, ohne dass ein einziges Gruppenmitglied von einer Gravitationsbombe getötet wird.;14922;
2935;Schwächt die Bummboter endlich ab! (25 Spieler);Bezwingt 20 XS-013 Schrottboter innerhalb von 12 Sekunden bei Verwendung von XE-321 Bummbotern im 25-Spieler-Modus.;14922;
2936;Schwächt die Gravitationsbomben endlich ab! (25 Spieler);Bezwingt den XT-002 Dekonstruktor im 25-Spieler-Modus, ohne dass ein einziges Gruppenmitglied von einer Gravitationsbombe getötet wird.;14922;
2937;Rapide Dekonstruktion (10 Spieler);Bezwingt den XT-002 Dekonstruktor innerhalb von 205 Sekunden im 10-Spieler-Modus.;14922;
2938;Rapide Dekonstruktion (25 Spieler);Bezwingt den XT-002 Dekonstruktor innerhalb von 205 Sekunden im 25-Spieler-Modus.;14922;
2939;Ich wähle dich, Runenmeister Molgeim (10 Spieler);Bezwingt die Versammlung des Eisens mit Runenmeister Molgeim als letztem lebenden Mitglied im 10-Spieler-Modus.;14922;
2940;Ich wähle dich, Sturmrufer Brundir (10 Spieler);Bezwingt die Versammlung des Eisens mit Sturmrufer Brundir als letztem lebenden Mitglied im 10-Spieler-Modus.;14922;
2941;Ich wähle dich, Stahlbrecher (10 Spieler);Bezwingt die Versammlung des Eisens mit Stahlbrecher als letztem lebenden Mitglied im 10-Spieler-Modus.;14922;
2942;Ich erwähle Euch, Runenmeister Molgeim (25 Spieler);Bezwingt die Versammlung des Eisens mit Runenmeister Molgeim als letztem lebenden Mitglied im 25-Spieler-Modus.;14922;
2943;Ich erwähle Euch, Sturmrufer Brundir (25 Spieler);Bezwingt die Versammlung des Eisens mit Sturmrufer Brundir als letztem lebenden Mitglied im 25-Spieler-Modus.;14922;
2944;Ich wähle dich, Stahlbrecher (25 Spieler);Bezwingt die Versammlung des Eisens mit Stahlbrecher als letztem lebenden Mitglied im 25-Spieler-Modus.;14922;
2945;Aber ich bin doch auf eurer Seite! (10 Spieler);Bezwingt die Versammlung des Eisens im 10-Spieler-Modus unter dem Einfluss eines Eisernen Flachmanns.;14922;
2946;Aber ich bin doch auf eurer Seite! (25 Spieler);Bezwingt die Versammlung des Eisens im 25-Spieler-Modus unter dem Einfluss eines Eisernen Flachmanns.;14922;
2947;Das geht nicht, wenn ich betäubt bin (10 Spieler);Bezwingt die Versammlung des Eisens im 10-Spieler-Modus, ohne dass Sturmrufer Brundir jemandem mit 'Kettenblitzschlag' oder 'Blitzschlagwirbel' Schaden zufügt.;14922;
2948;Das geht nicht, wenn ich betäubt bin (25 Spieler);Bezwingt die Versammlung des Eisens im 25-Spieler-Modus, ohne dass Sturmrufer Brundir jemandem mit 'Kettenblitzschlag' oder 'Blitzschlagwirbel' Schaden zufügt.;14922;
2951;Mit offenen Armen (10 Spieler);Bezwingt Kologarn im 10-Spieler-Modus, ohne dabei einen seiner Arme zu zerstören.;14922;
2952;Mit offenen Armen (25 Spieler);Bezwingt Kologarn im 25-Spieler-Modus, ohne dabei einen seiner Arme zu zerstören.;14922;
2953;Arm dran, weil Arm ab (10 Spieler);Zerstört im 10-Spieler-Modus innerhalb von 12 Sekunden beide Arme Kologarns und danach Kologarn selbst.;14922;
2954;Arm dran, weil Arm ab (25 Spieler);Zerstört im 25-Spieler-Modus innerhalb von 12 Sekunden beide Arme Kologarns und danach Kologarn selbst.;14922;
